drug_key,compound_iso_smiles
CHEMBL336603,O=C1c2c(c3c4ccc(O)cc4n(C4OC(CO)C(O)C(O)C4O)c3c3[nH]c4cc(O)ccc4c23)C(=O)N1NC(CO)CO
CHEMBL1999718,N#Cc1ccc(NC(=O)Nc2ccnc3cc(C(F)(F)F)ccc23)nc1
CHEMBL1995927,CCNc1nc2cc(Cl)c(OC)cc2nc1NCC
CHEMBL1981410,CNc1ncnc2c1N=C(c1ccc(NC(=O)Nc3cccc(C(F)(F)F)c3)cc1)CCN2
CHEMBL1972250,C#Cc1cc2c(cc1OC)-c1[nH]nc(-c3ccc(C#N)nc3)c1C2
CHEMBL130208,COC1C(N(C)C(=O)c2cccc([N+](=O)[O-])c2)CC2OC1(C)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)C(=O)NC4
CHEMBL1968705,CCCC(=O)Nc1cccc(-c2nc(Nc3ccc4[nH]ncc4c3)c3cc(OCCN4CCCC4)ccc3n2)c1
CHEMBL1982465,Cc1cccc(NC(=O)Nc2ccc(-c3csc4c(C#CCN5CCOCC5)cnc(N)c34)cc2)c1
CHEMBL2007064,Cc1[nH]c(C=C2C(=O)Nc3ccccc32)c(C)c1CCC(=O)O
CHEMBL1988153,Cc1nnc(-c2cc3c(Oc4ccc(C(F)(F)F)cc4)cncc3s2)o1
CHEMBL1973711,N#Cc1c2c3cc(Cl)ccc3oc(N)c-2c(=O)[nH]c1=O
CHEMBL259922,Cc1ccc(C(=O)Nc2ccon2)cc1Nc1ncnc2c1cnn2-c1ccccc1
CHEMBL1987430,CCCc1ccc2nccc(NC(=O)Nc3cccc(C(F)(F)F)n3)c2c1
CHEMBL115220,O=C(Cc1ccc2ccccc2c1)Nc1cc(C2CC2)[nH]n1
CHEMBL402846,Cc1ccc(F)c(NC(=O)Nc2ccc(-c3cncc4c3c(N)nn4C)cc2)c1
CHEMBL344314,NCCNS(=O)(=O)c1cccc2cnccc12
CHEMBL2007559,CCCNC(=O)c1ccc(Nc2nc(NCC(F)(F)F)c3sccc3n2)cc1
CHEMBL2000354,COc1ccc(C=C2SC(Nc3ccccc3)=NC2=O)cc1O
CHEMBL2006276,COc1cccc2c1Nc1cc(Nc3ccncc3)ccc1C(=O)N2
CHEMBL1236126,CC(C)(C)C(=O)Oc1ccc2c(c1)nc(NC(=O)c1cccc([N+](=O)[O-])c1)n2CCCO
CHEMBL1995765,Nc1cc(=O)[nH]n1-c1ccccn1
CHEMBL2001923,O=C1Nc2cc(CCOc3ccc(N4CCOCC4)cc3)ccc2Nc2cc(-c3cn(Cc4cc(F)c(F)c(F)c4)c4cnccc34)ccc21
CHEMBL1976328,Cc1cc(C)cc(NC(=O)Nc2ccc(-c3cccc4snc(N)c34)cc2)c1
CHEMBL2002450,COc1ccc(-c2ccc(N)cc2)c2cnoc12
CHEMBL2000071,OCCCNc1ncnc2[nH]cc(-c3ccccc3)c12
CHEMBL2000114,CSc1c[nH]c2ncnc(NCCCO)c12
CHEMBL2003657,CC(C)S(=O)(=O)n1c(N)nc2ccc(-c3c(-c4ccc(F)cc4)nc4sccn34)cc21
